-3.375,-3.5,-3.25,1364.0,2.0,-2.0,62.0,-62.0,
-3.125,-3.25,-3.0,1391.0,1.0,-1.0,63.0,-63.0,
-2.875,-3.0,-2.75,1424.0,1.0,-1.0,64.0,-64.0,
-2.625,-2.75,-2.5,1474.0,1.0,-1.0,67.0,-67.0,
-2.375,-2.5,-2.25,1507.0,1.0,-1.0,68.0,-68.0,
-2.125,-2.25,-2.0,1569.0,1.0,-1.0,71.0,-71.0,
-1.875,-2.0,-1.75,1644.0,1.0,-1.0,53.0,-53.0,
-1.625,-1.75,-1.5,1679.0,2.0,-2.0,67.0,-67.0,
-1.375,-1.5,-1.25,1682.0,1.0,-1.0,59.0,-59.0,
-1.125,-1.25,-1.0,1672.0,1.0,-1.0,52.0,-52.0,
-0.875,-1.0,-0.75,1646.0,1.0,-1.0,47.0,-47.0,
-0.625,-0.75,-0.5,1621.0,1.0,-1.0,42.0,-42.0,
-0.375,-0.5,-0.25,1597.0,1.0,-1.0,39.0,-39.0,
-0.125,-0.25,0.0,1583.0,1.0,-1.0,37.0,-37.0,
0.125,0.0,0.25,1583.0,1.0,-1.0,37.0,-37.0,
0.375,0.25,0.5,1597.0,1.0,-1.0,39.0,-39.0,
0.625,0.5,0.75,1621.0,1.0,-1.0,42.0,-42.0,
0.875,0.75,1.0,1646.0,1.0,-1.0,47.0,-47.0,
1.125,1.0,1.25,1672.0,1.0,-1.0,52.0,-52.0,
1.375,1.25,1.5,1682.0,1.0,-1.0,59.0,-59.0,
1.625,1.5,1.75,1679.0,2.0,-2.0,67.0,-67.0,
1.875,1.75,2.0,1644.0,1.0,-1.0,53.0,-53.0,
2.125,2.0,2.25,1569.0,1.0,-1.0,71.0,-71.0,
2.375,2.25,2.5,1507.0,1.0,-1.0,68.0,-68.0,
2.625,2.5,2.75,1474.0,1.0,-1.0,67.0,-67.0,
2.875,2.75,3.0,1424.0,1.0,-1.0,64.0,-64.0,
3.125,3.0,3.25,1391.0,1.0,-1.0,63.0,-63.0,
3.375,3.25,3.5,1364.0,2.0,-2.0,62.0,-62.0,
3.625,3.5,3.75,1292.0,2.0,-2.0,85.0,-88.0,
3.875,3.75,4.0,1218.0,1.0,-1.0,80.0,-83.0,
4.125,4.0,4.25,1132.0,1.0,-1.0,74.0,-77.0,
4.375,4.25,4.5,1093.0,1.0,-1.0,72.0,-74.0,
4.625,4.5,4.75,1062.0,1.0,-1.0,70.0,-72.0,
4.875,4.75,5.0,1032.0,1.0,-1.0,68.0,-70.0,

